IL_smiles,B-CF2,B-F,CF2,CF3,CF3O,CH2,CH2O,CH3,CH3COO,CH3O,N(CH3)2,N-CH2,N-CH3,OH,P-CH2,[3triz]-,[4triz]-,[ABN]+,[BF4]-,[B]-,[CF3COO]-,[CF3COO]-],[CF3SO3]-,[CH3SO3]-,[CH3SO4]-,[FAP]-,[Im13]+,[Ind]-,[N(SO2CF2CF3)2]-,[N(SO2CF3)SO2CF2]-,[N(SO2F)]-,[NTf2]-,[N]+,[PF6]-,[P]+,[Pipz]+,[Py1]+,[Pyr11]+,[Pyr]-,[Pz]-,[TCB]-,[TCM]-,[Tz]-,aC-CF3,aC-CH3,aC-CN,aC-NOO,aN-CH2,aN-CH3,cN-CH2,cN-CH3
CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,10,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,14,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,7,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,12,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,1,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOCC[P+](CCCC)(CCCC)CCCC.[O-]C(=O)C(F)(F)F,0,0,0,0,0,7,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOCC[P+](CCCC)(CCCC)CCCC.CS([O-])(=O)=O,0,0,0,0,0,7,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOCC[P+](CCCC)(CCCC)CCCC.FC(F)(F)S([O-])(=O)=O,0,0,0,0,0,7,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
