IL,IL_smiles,Cation,Anion,T,D+
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],298.63,1.05
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],298.65,1.12
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],303.27,1.33
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],303.28,1.36
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],303.45,1.4
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],303.47,1.42
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.32,2.16
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.38,2.15
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],322.84,3.14
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],323.3,3.23
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],323.32,3.23
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],332.98,4.56
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],333.0,4.62
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],333.19,4.61
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],333.26,4.48
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.14,6.37
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.15,6.38
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],348.1,7.33
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],348.13,7.28
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],348.6,7.41
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],348.63,7.2
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],353.0,8.44
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],353.07,8.41
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],363.37,11.4
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],298.15,1.12
"[P2,2,2,8][Tf2N]",CCCCCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,8]",[Tf2N],298.15,0.754
"[P4,4,4,6][Tf2N]",CCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,6]",[Tf2N],298.15,0.33
"[P4,4,4,10][Tf2N]",CCCCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,10]",[Tf2N],298.15,0.248
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],298.15,0.548
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],308.15,1.01
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],318.15,1.61
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],328.15,3.13
