IL,IL_smiles,Cation,Anion,T,D-
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],298.64,1.24
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],298.65,1.29
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],303.49,1.6
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.15,2.46
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.17,2.42
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.24,2.38
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.25,2.56
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],313.32,2.43
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],323.19,3.64
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],323.25,3.71
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],333.01,5.32
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],333.07,5.32
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],342.99,7.23
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.02,7.09
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.04,7.03
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.11,7.64
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.25,7.44
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],343.27,7.44
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],348.38,8.75
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],348.4,8.83
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],353.39,9.86
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],353.44,9.75
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],364.7,13.1
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],364.88,13.4
"[P2,2,2,5][Tf2N]",CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,5]",[Tf2N],298.15,1.21
"[P2,2,2,8][Tf2N]",CCCCCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,8]",[Tf2N],298.15,0.88
"[P4,4,4,6][Tf2N]",CCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,6]",[Tf2N],298.15,0.464
"[P4,4,4,10][Tf2N]",CCCCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,10]",[Tf2N],298.15,0.347
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],298.15,0.693
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],308.15,1.25
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],318.15,2.02
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],328.15,3.59
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],338.15,7.15
"[P4,4,4,2][Tf2N]",CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2]",[Tf2N],348.15,11.1
"[P4,4,4,8][Tf2N]",CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,8]",[Tf2N],298.15,0.406
"[P4,4,4,8][Tf2N]",CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,8]",[Tf2N],308.15,0.756
"[P4,4,4,8][Tf2N]",CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,8]",[Tf2N],318.15,1.34
"[P4,4,4,8][Tf2N]",CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,8]",[Tf2N],328.15,2.26
"[P4,4,4,8][Tf2N]",CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,8]",[Tf2N],338.15,3.91
"[P4,4,4,8][Tf2N]",CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,8]",[Tf2N],348.15,6.68
"[P2,2,2,2O2][Tf2N]",CCOCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P2,2,2,2O2]",[Tf2N],298.15,2.35
"[P4,4,4,2O2][TFA]",CCOCC[P+](CCCC)(CCCC)CCCC.[O-]C(=O)C(F)(F)F,"[P4,4,4,2O2]",[TFA],298.15,0.532
"[P4,4,4,2O2][OMs]",CCOCC[P+](CCCC)(CCCC)CCCC.CS([O-])(=O)=O,"[P4,4,4,2O2]",[OMs],298.15,0.109
"[P4,4,4,2O2][OTf]",CCOCC[P+](CCCC)(CCCC)CCCC.FC(F)(F)S([O-])(=O)=O,"[P4,4,4,2O2]",[OTf],298.15,0.275
"[P4,4,4,2O2][Tf2N]",CCOCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2O2]",[Tf2N],298.15,0.807
"[P4,4,4,2O2][Tf2N]",CCOCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2O2]",[Tf2N],308.15,1.46
"[P4,4,4,2O2][Tf2N]",CCOCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"[P4,4,4,2O2]",[Tf2N],318.15,2.44
