Ion,SMILES
001,CCCC[N+]1(C)CCCC1
002,CC[n+]1ccn(C)c1
003,CCCCCn1cc[n+](CCCC)c1
004,CCCC[n+]1ccn(C)c1
005,CCCCC[P+](CC)(CC)CC
006,CCCCCC[n+]1ccn(C)c1
007,CCCCCCCC[n+]1ccn(C)c1
008,CCCCCCCCn1cc[n+](C)c1
009,CC[NH3+]
010,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1
011,CCCCCC[N+](CC)(CC)CC
012,CCCCCCCCCC[n+]1ccn(C)c1
013,CCCCCCCC[N+]1(C)CCCC1
014,CCC[N+]1(C)CCCC1
015,CCCCCC[N+]1(C)CCCC1
016,CCCC[n+]1ccccc1
017,CCCC[n+]1cccc(C)c1
018,CCCCCCCC[n+]1cccc(C)c1
019,CCC[n+]1ccccc1
020,CCC[n+]1ccccc1C
021,CC[n+]1ccccc1C
022,CCCCCCCCCCCC[n+]1ccn(C)c1
023,CC[S+](CC)CC
024,CCCC[n+]1ccccc1C
025,CC[n+]1ccccc1
026,CC[S+](C)CC
027,CC[N+]1(C)CCCC1
028,CCC[n+]1cccc(C)c1
029,CCCCCC[n+]1cccc(C)c1
030,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC
031,Cn1cc[n+](CCO)c1
032,Cn1cc[n+](CC#N)c1
033,CC[N+](C)(CC)CCOC
034,Cn1cc[n+](C)c1
035,C[n+]1cc[nH]c1
036,CCCC[n+]1ccc(C)cc1
037,CCCn1cc[n+](C)c1
038,CC[N+]1(C)CCCCC1
039,CCCC[N+]1(C)CCCCC1
040,CCCCCCCC[N+]1(C)CCCCC1
041,CCC[n+]1cn(C)cn1
042,CCCCCCCCn1c[n+](C)cn1
043,CCCn1c[n+](C)cn1
044,CCCCn1c[n+](C)cn1
045,CCCCCCn1c[n+](C)cn1
046,CCCCCCCCCCn1c[n+](C)cn1
047,CCCCCCCCCCCCn1c[n+](C)cn1
048,CCn1c[n+](C)cn1
049,CCCCCC[N+]CCN
050,CCCCC[n+]1ccccc1
051,CCCCCC[n+]1ccccc1
052,CC[n+]1ccc(C)cc1
053,CCCCNC(=O)C[N+]1=CN(C=C1)CC
054,CCCCCCCC[N+](CC)(CC)CC
055,CCCCC[N+](C)(C)CC
056,CC[N+](C)(C)CCOCCOC
057,CC[N+](C)(C)CCOC(C)=O
058,CCCCCCC[N+](C)(C)CC
059,CC[n+]1cc[nH]c1
060,OCC[n+]1ccccc1
061,C[N+](C)(C)CCO
062,CCCOCCn1cc[n+](C)c1
063,CCCC[N+](C)(C)C
064,CCC(=O)[N+](C)C
065,CCCCC[n+]1ccn(C)c1
066,CCCCCn1cc[n+](C)c1
067,CCCC[N+](C)(CCCC)CCCC
068,CCCCCCn1cc[n+](C)c1
069,CCCCCCC[N+](CC)(CC)CC
070,CCCCCCCCCC[N+](CC)(CC)CC
071,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
072,CC[P+](CC)(CC)CCOC
073,C[n+]1ccn(CCCC#N)c1
074,Cn1cc[n+](CCCC#N)c1
075,N#CCCC[n+]1ccccc1
076,CCCCC[n+]1ccn(C)c1C
077,CC[n+]1ccn(C)c1C
078,CCC[n+]1ccn(C)c1C
079,CCCC[n+]1ccn(C)c1C
080,CCCCCCCCCCCC[N+]1=CN(C=C1)C
081,COC[n+]1ccn(C)c1
082,CCOCn1cc[n+](C)c1
083,CCOC[n+]1ccccc1
084,COCC[N+]1=C[N](C=C1)C
085,CCOCC[n+]1ccn(C)c1
086,COCCCn1cc[n+](C)c1
087,COC[n+]1ccccc1
088,COCC[n+]1ccccc1
089,CCOCC[n+]1ccccc1
090,COCCC[n+]1ccccc1
091,CCCOCC[n+]1ccccc1
092,CCOC[N+]1(C)CCCC1
093,COCC[N+]1(C)CCCC1
094,CCOCC[N+]1(C)CCCC1
095,COCCC[N+]1(C)CCCC1
096,CCCOCC[N+]1(C)CCCC1
097,CCC[N+]
098,C1CC[N+]C1
099,CCCC[N+]
100,CCCC[N]1C=C[N+](=C1)C
101,CCCCn1cc[n+](C)c1
102,CC[N+](CCO)(CCO)CCO
103,CC[N+](C)(C)CCCO
104,CC[N+](C)(C)CCOC
105,C[N+](CCO)(CCO)CCO
106,CC[N+](C)(CCO)CCO
107,CCCC[N+](CCO)(CCO)CCO
108,CCCC[N+](C)(C)CC
109,C=C[n+]1ccn(CC(N)=O)c1
110,CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C
111,OCC[N+]CCO
112,CCC[N+](C)C
113,C=CC[N+](CC)CC
114,CCC[N+](CC)CC
115,C=CC[N+](C)CC=C
116,CCC[N+](C)CCC
117,C=CC[N+](C)C
118,CC[N+](C)CC
119,CCCn1cc[n+](C)c1C
120,CCCC[n+]1ccn(CCC(C)C)c1
121,CCCCn1cc[n+](C2CCCC2)c1
122,CCCC[n+]1ccn(CC)c1
123,COCC[N+]1(C)CCCCC1
124,COCC[N+]1(C)CCOCC1
125,CCC[N+](C)(C)CC
126,CCCC[N+]1=C(N(C=C1)C)C
127,CC[n+]1cccc(C)c1
128,CCCCCC[n+]1ccc(C)cc1
129,CCCCCCCC[n+]1ccccc1
130,CCCC[P+](C)(CCCC)CCCC
131,C[n+]1ccccc1
132,CCCC[N+]1CCCC1
133,CC[N+]1=CN(C=C1)C
