IL,IL_smiles,Cation,Anion,T,sigma
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,238.15,-1.472370099
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,248.15,-1.039767127
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,258.15,-0.737311656
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,268.15,-0.487248917
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,273.15,-0.281913705
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,278.15,-0.247030135
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,283.15,-0.104577454
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,288.15,-0.073657553
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,293.15,0.050379756
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,298.15,0.098124338
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,303.15,0.183839037
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,308.15,0.206286044
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,313.15,0.300378065
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,318.15,0.319106059
001,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,323.15,0.402948829
