Ion,SMILES,CH2,CH3,N-CH2,N-CH3,NH2,OH,P-CH2,P-CH3,S-CH2,[(CH2)2PO4]-,[(CH3)2PO4]-,[BF4]-,[Br]-,[C(CN)3]-,[CF3COO]-,[CF3SO3]-,[CH2COO]-,[CH2SO3]-,[CH2SO4]-,[CH3COO]-,[CH3HPO3]-,[CH3SO3]-,[CH3SO4]-,[CHCOO]-,[Cl]-,[DCA]-,[FAP]-,[Im123]+,[Im13]+,[NH3]+,[NO3]-,[NTf2]-,[N]+,[PF6]-,[P]+,[Pip11]+,[Py134]+,[Py13]+,[Py14]+,[Py1]+,[Pyr11]+,[SCN]-,[S]+,[SbF6]-,[TCB]-,aC-CH3,aC-N,aN-CH2,aN-CH3,cN-CH2,cN-CH3
1,CCCCCCCCCCN1C=C[N+](=C1)C,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,CCCC[N+]1=CC=C(C=C1)C,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3,CCCC[P+](C)(CCCC)CCCC,6,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CCCCCC[N+]1=CC=C(N(C)C)C(C)=C1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5,CCN1C=C[N+](=C1)C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6,CCCC[N+]1=CC=C(N(C)C)C=C1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
7,CCCC[N+](CCCC)(CCCC)C,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CCCCN1C=C[N+](CCCC)=C1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,CCCCCCN1C=C[N+](=C1)C,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,CCCC[N+]1=CC=CC=C1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
