Ion,SMILES
1,CCCCCCCCCCN1C=C[N+](=C1)C
2,CCCC[N+]1=CC=C(C=C1)C
3,CCCC[P+](C)(CCCC)CCCC
4,CCCCCC[N+]1=CC=C(N(C)C)C(C)=C1
5,CCN1C=C[N+](=C1)C
6,CCCC[N+]1=CC=C(N(C)C)C=C1
7,CCCC[N+](CCCC)(CCCC)C
8,CCCCN1C=C[N+](CCCC)=C1
9,CCCCCCN1C=C[N+](=C1)C
10,CCCC[N+]1=CC=CC=C1
11,CCCCCC[N+]1=CN(C)C=C1
12,CCN1C=C[N+](C)=C1
13,CCCCCCCCN1C=C[N+](=C1)C
14,CC[N+]
15,C[N+]1=CC=CC=C1
16,CCCN1C=C[N+](=C1C)C
17,CN1C=C[N+](=C1)C
18,CCCC[N+]1=CC=CC(=C1)C
19,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)(CCCCCC)
20,CCCCN1C=C[N+](=C1)C
21,CCCC[N+]1(CCCC1)C
22,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
23,CC[S+](CC)CC
24,CCCCCCCC[N+]1=CC=CC=C1
25,CCCC[N+]1(CCCCC1)C
26,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC
27,CCCCCCCC[N+]1=CN(C)C=C1
28,CCCCCCCCCC[N+]1=CN(C)C=C1
29,CCCC[N+]
30,CCCCCC[N+]1=CC=C(N(C)C)C=C1
31,CCCC[P+](CCCC)(CCCC)CCCC
32,C(CO)[NH3+]
33,CC[N+](CC)(CC)CC
34,CCCCN1C=C[N+](=C1C)C
35,CCCCCC[N+]1=CC=CC=C1
36,CCC[N+]1(CCCC1)C
37,CCCC[N+](C)(C)C
38,C(=O)(C(F)(F)F)[O-]
39,[O-]C(=O)C
40,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
41,[N+]([O-])([O-])=O
42,F[Sb-](F)(F)(F)(F)F
43,CCOS(=O)(=O)[O-]
44,[B-](C#N)(C#N)(C#N)C#N
45,[Br-]
46,CCCCCCCCCC(=O)[O-]
47,C(F)(F)(F)S(=O)(=O)[O-]
48,CS(=O)(=O)[O-]
49,C(CS(=O)(=O)[O-])N
50,[N+](=O)([O-])[O-]
51,C(#N)[N-]C#N
52,[Cl-]
53,F[P-](F)(F)(F)(F)F
54,CCOP(=O)([O-])OCC
55,CCCC(=O)[O-]
56,CC(=O)[O-]
57,[B-](F)(F)(F)F
58,CCCCCCCCOS(=O)(=O)[O-]
59,CC(C(=O)[O-])O
60,CCCCCC(=O)[O-]
61,COP(=O)[O-]
62,COS(=O)(=O)[O-]
63,C(#N)[S-]
64,CCCCCCCC(=O)[O-]
65,C(#N)[C-](C#N)C#N
66,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F
67,COP(=O)([O-])OC
