IL,Full Name,IL_smiles,Cation,Anion,T,P,lambda
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,0.1,0.177
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,5,0.181
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,10,0.182
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,20,0.183
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,30,0.184
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,40,0.187
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,50,0.19
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,60,0.189
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,65,0.191
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,0.1,0.175
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,5,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,10,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,20,0.18
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,30,0.181
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,40,0.184
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,50,0.187
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,60,0.188
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,65,0.189
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,0.1,0.166
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,5,0.171
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,10,0.174
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,20,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,30,0.18
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,40,0.181
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,50,0.182
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,60,0.185
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,65,0.186
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,0.1,0.159
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,5,0.164
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,10,0.167
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,20,0.172
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,30,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,40,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,50,0.179
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,60,0.18
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,65,0.181
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],283.15,0.1,0.179
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],293.15,0.1,0.177
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],303.15,0.1,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],313.15,0.1,0.176
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],323.15,0.1,0.174
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],333.15,0.1,0.173
1,1-butyl-3-methylimidazolium methyl sulfate,CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,COS(=O)(=O)[O-],343.15,0.1,0.172
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,0.1,0.144
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,5,0.147
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,10,0.149
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,20,0.151
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,30,0.151
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,40,0.154
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,50,0.156
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,60,0.159
2,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[O-],283.15,65,0.155
