anion_name,anion_smiles
tetrafluoroborate,F[B-](F)(F)F
chloride,[Cl-]
hexafluorophosphate,F[P-](F)(F)(F)(F)F
bromide,[Br-]
bis(trifluoromethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
dicyanamide,N#C[N-]C#N
trifluoroacetate,O=C([O-])C(F)(F)F
triflate,O=S(=O)([O-])C(F)(F)F
2-(2-methoxyethoxy)ethylsulfate,COCCOCCOS(=O)(=O)[O-]
1-methylsulfate,COS(=O)(=O)[O-]
1-octylsulfate,CCCCCCCCOS(=O)(=O)[O-]
hydrogensulfate,O=S(=O)([O-])O
toluene-4-sulfonate,Cc1ccc(S(=O)(=O)[O-])cc1
thiocyanate,N#C[S-]
methanesulfonate,CS(=O)(=O)[O-]
iodide,[I-]
bis[1.2-benzenediolato(2-)-o1.o2]borate,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
bis(pentafluoroethyl)phosphinate,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
bis[oxalato(2-)]-borate,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2
tetracyanoborate,N#C[B-](C#N)(C#N)C#N
1.2-benzisothiazolonium1.1-dioxide,O=C1[N-]S(=O)(=O)c2ccccc21
trifluoridotris(pentafluoroethyl)phosphate,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
trifluoridotris(heptafluoropropyl)phosphate,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
tetracarbonylcobaltate,O=[C]=[Co-](=[C]=O)(=[C]=O)=[C]=O
bis(trifluoromethyl)amide,FC(F)(F)[N-]C(F)(F)F
2-hydroxypropanoate,CC(O)C(=O)[O-]
o-ethylsulfate,CCOS(=O)(=O)[O-]
acetate,CC(=O)[O-]
tris(trifluoromethylsulfonyl)methanide,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
sulfamate,NS(=O)(=O)[O-]
hydroxyacetate,O=C([O-])CO
formate,O=C[O-]
hydroxide,[OH-]
bis(2.4.4-trimethylpentyl)phosphinate,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
decanoate,CCCCCCCCCC(=O)[O-]
acesulfamates,CC1=CC(=O)[N-]S(=O)(=O)O1
nitrate,O=[N+]([O-])[O-]
tricyanomethane,N#C[C-](C#N)C#N
sulfate,O=S(=O)([O-])[O-]
triethyl-n-hexylboride,CCCCCC[B-](CC)(CC)CC
2-(cyclohexylamino)ethanesulfonate,O=S(=O)([O-])CCNC1CCCCC1
2-[bis(2-hydroxyethyl)amino]ethanesulfonate,O=S(=O)([O-])CCN(CCO)CCO
2-hydroxy-4-morpholinopropanesulfonate,O=S(=O)([O-])CC(O)CN1CCOCC1
benzoate,O=C([O-])c1ccccc1
2-oxopropanoate,CC(=O)C(=O)[O-]
taurinate,NCCS(=O)(=O)[O-]
tetrachloroferrate,[Cl][Fe-]([Cl])([Cl])[Cl]
diethylphosphate,CCOP(=O)([O-])OCC
bis(fluorosulfonyl)imide,O=S(=O)(F)[N-]S(=O)(=O)F
perfluorobutanesulfonate,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
