IL_smiles,cation_smiles,anion_smiles,T,D+,D-,Damb,sigma,lambda,topsis
C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,2.9936516284942627,9.627888679504396,4.567199235753195,0.2752415246815629,0.051491305232048,0.742048435136732
C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,298.15,2.0647568702697754,7.112412929534912,3.200420997062805,0.2616286319556935,0.071509338915348,0.6980897721401599
COC(=O)C(Oc1ccc2c(c1)OCO2)C(=O)OC[n+]1ccccc1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(Oc1ccc2c(c1)OCO2)C(=O)OC[n+]1ccccc1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,2.7152516841888428,6.546939849853516,3.838527715230578,0.0053644839502896,0.0772240906953811,0.6870454116440107
NC(=O)c1ccc[n+](COC2CCCCCCCCCCC2)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,NC(=O)c1ccc[n+](COC2CCCCCCCCCCC2)c1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,1.6872482299804688,2.533583164215088,2.025564781009192,0.054095122869817,0.0712992399930954,0.6824534424225154
CCCCOC(=O)C(Oc1ccc2c(c1)OCO2)C(=O)OC[n+]1ccccc1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CCCCOC(=O)C(Oc1ccc2c(c1)OCO2)C(=O)OC[n+]1ccccc1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,2.4538567066192627,5.181400299072266,3.3304481732782176,0.0030859876800282,0.0787078291177749,0.6787839654125206
COC(=O)C(c1ccc2c(c1)OCO2)[n+]1ccccc1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(c1ccc2c(c1)OCO2)[n+]1ccccc1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,2.8737356662750244,6.427271366119385,3.9716729376325546,0.0598823955616489,0.083376333117485,0.6749440348258322
C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,1.814408540725708,3.5798325538635254,2.408227087444453,0.2088943143221334,0.0816326141357421,0.6670571098367933
CCCCOC(=O)C(c1ccc2c(c1)OCO2)[n+]1ccccc1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CCCCOC(=O)C(c1ccc2c(c1)OCO2)[n+]1ccccc1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,2.483759880065918,5.065155982971191,3.3330961544769964,0.0298916943158011,0.0848463177680969,0.6646281019096337
COC(=O)C(c1ccc(OC)c(OC)c1)[n+]1ccccc1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(c1ccc(OC)c(OC)c1)[n+]1ccccc1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,2.4139528274536133,6.284230709075928,3.488046998510961,0.1457777832412973,0.0871424153447151,0.6624377115921934
ClCC[NH+]1C=CN=C1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,ClCC[NH+]1C=CN=C1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,298.15,1.6253416538238523,6.048845291137695,2.5622102457843177,0.2586741233633422,0.0850886031985282,0.661030381151739
